date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:36	152121/152121	---M-Z	200	added ('OK')	text/html	etag:%229E9522C19C335FA35BC3A44C99D23F7F%22	https://www.metro.pe/tecnologia/televisores/18590?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/18590fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:37	459809/459809	---MCZ	200	added ('OK')	text/html	etag:%226F7C0F085379491967533892A20C3A72%22	https://www.metro.pe/tecnologia/televisores/18695?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/18695fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:38	346660/346660	---MCZ	200	added ('OK')	text/html	etag:%226F0D197D7AB238C56CDC49A3DD75E9D5%22	https://www.metro.pe/tecnologia/televisores/18981?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/18981fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:39	378902/378902	---MCZ	200	added ('OK')	text/html	etag:%22834C35967DF60CAD3DADAE0441F14872%22	https://www.metro.pe/tecnologia/televisores/19010?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19010fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:40	349636/349636	---MCZ	200	added ('OK')	text/html	etag:%22026D0B0D9A6109FD61E6AF05B7B5A1BA%22	https://www.metro.pe/tecnologia/televisores/19077?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19077fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:40	154473/154473	---M-Z	200	added ('OK')	text/html	etag:%2291159E73E327BB82624BDDB44EAA05F8%22	https://www.metro.pe/tecnologia/televisores/19164?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19164fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:41	154095/154095	---M-Z	200	added ('OK')	text/html	etag:%22D82ED0C070AE64F1001BEFCAD88BB5ED%22	https://www.metro.pe/tecnologia/televisores/19166?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19166fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:42	256256/256256	---MCZ	200	added ('OK')	text/html	etag:%2208A4E45A518EDF89BD420DF0F26E28EE%22	https://www.metro.pe/tecnologia/televisores/19179?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19179fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:43	216771/216771	---MCZ	200	added ('OK')	text/html	etag:%22D5F819727DC7BED65AAF01464141946B%22	https://www.metro.pe/tecnologia/televisores/19180?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19180fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:43	275775/275775	---MCZ	200	added ('OK')	text/html	etag:%226F7C4F25CA659ED3DF547DA2A4B9D6D9%22	https://www.metro.pe/tecnologia/televisores/19197?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19197fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:44	275780/275780	---MCZ	200	added ('OK')	text/html	etag:%226F7C4F25CA659ED3DF547DA2A4B9D6D9%22	https://www.metro.pe/tecnologia/televisores/19203?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19203fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:45	256288/256288	---MCZ	200	added ('OK')	text/html	etag:%2208A4E45A518EDF89BD420DF0F26E28EE%22	https://www.metro.pe/tecnologia/televisores/19314?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19314fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:45	310303/310303	---MCZ	200	added ('OK')	text/html	etag:%220569EFFF3889F0E89C56D03CB9A24B18%22	https://www.metro.pe/tecnologia/televisores/19543?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19543fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:46	154461/154461	---M-Z	200	added ('OK')	text/html	etag:%2291159E73E327BB82624BDDB44EAA05F8%22	https://www.metro.pe/tecnologia/televisores/19691?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19691fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:46	293121/293121	---MCZ	200	added ('OK')	text/html	etag:%22DD3A2626CE299B4F17A97B4EA5CA41A7%22	https://www.metro.pe/tecnologia/televisores/19773?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19773fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:47	216126/216126	---MCZ	200	added ('OK')	text/html	etag:%2212F6815FC0D6E7BBFA790EF0C9960F8E%22	https://www.metro.pe/tecnologia/televisores/19800?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/19800fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:48	195843/195843	---M-Z	200	added ('OK')	text/html	etag:%22CD434A708E953AEDFD1212833D83B350%22	https://www.metro.pe/tecnologia/televisores/20078?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/20078fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:49	195843/195843	---M-Z	200	added ('OK')	text/html	etag:%22CD434A708E953AEDFD1212833D83B350%22	https://www.metro.pe/tecnologia/televisores/20080?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/20080fb64.html	(from https://www.metro.pe/tecnologia/televisores)
12:00:50	459792/459792	---MCZ	200	added ('OK')	text/html	etag:%226F7C0F085379491967533892A20C3A72%22	https://www.metro.pe/tecnologia/televisores/20336?PS=18&map=c,c,productClusterSearchableIds	C:/HTRACK/metro1/www.metro.pe/tecnologia/televisores/20336fb64.html	(from https://www.metro.pe/tecnologia/televisores)
